"timestamp","N","dummy","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","total_sentiment","total_posneg","prop_anger","prop_anticipation","prop_disgust","prop_fear","prop_joy","prop_sadness","prop_surprise","prop_trust","prop_negative","prop_positive","total_tariff","total_trade"
2010-04-23 15:00:00,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-04-26 13:00:00,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0
2010-04-28 14:00:00,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010-04-29 15:00:00,1,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0.5,0,0,0.5,0,0,0,0,1,0,0
2010-04-30 15:00:00,1,1,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0.5,0,0.5,0,0,1,0,0
2010-05-03 16:00:00,3,1,1,2,0,0,4,1,1,3,3,6,12,9,0.0833333333333333,0.166666666666667,0,0,0.333333333333333,0.0833333333333333,0.0833333333333333,0.25,0.333333333333333,0.666666666666667,0,0
2010-05-05 19:00:00,1,1,0,2,0,0,2,0,0,1,0,4,5,4,0,0.4,0,0,0.4,0,0,0.2,0,1,0,0
2010-05-13 21:00:00,1,1,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0.5,0.5,0,0
2010-05-17 16:00:00,1,1,0,0,0,0,2,0,1,1,0,2,4,2,0,0,0,0,0.5,0,0.25,0.25,0,1,0,0
2010-05-19 16:00:00,1,1,1,1,1,0,1,0,1,2,1,1,7,2,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0.5,0.5,0,0
2010-05-20 14:00:00,1,1,1,1,1,0,1,0,1,2,1,1,7,2,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0.5,0.5,0,0
2010-05-20 16:00:00,1,1,1,1,1,0,1,0,1,2,1,2,7,3,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0.333333333333333,0.666666666666667,0,0
2010-05-21 13:00:00,1,1,1,1,0,0,1,1,1,1,1,2,6,3,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0,0
2010-05-24 15:00:00,1,1,1,3,1,0,3,0,1,4,1,3,13,4,0.0769230769230769,0.230769230769231,0.0769230769230769,0,0.230769230769231,0,0.0769230769230769,0.307692307692308,0.25,0.75,0,0
2010-05-25 13:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-25 15:00:00,1,1,1,2,1,0,1,1,1,2,1,1,9,2,0.111111111111111,0.222222222222222,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.5,0.5,0,0
2010-05-26 13:00:00,1,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0.5,0.5,0,0
2010-05-26 19:00:00,1,1,0,1,0,0,0,0,1,0,0,2,2,2,0,0.5,0,0,0,0,0.5,0,0,1,0,0
2010-05-27 17:00:00,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
2010-05-28 16:00:00,1,1,0,2,0,0,3,0,0,2,0,3,7,3,0,0.285714285714286,0,0,0.428571428571429,0,0,0.285714285714286,0,1,0,0
2010-06-02 20:00:00,1,1,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0
2010-06-04 14:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
